,title,link,author
0,Reducing the health effects of hot weather and heat extremes: from personal cooling strategies to green cities,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)01209-5/abstract,"O Jay, A Capon, P Berry, C Broderick, R de Dear… - The Lancet, 2021 - thelancet.com"
1,Effects of heat stress on working populations when facing climate change,https://www.jstage.jst.go.jp/article/indhealth/51/1/51_2012-0089/_article/-char/ja/,"K Lundgren, K Kuklane, C Gao, I Holmer - Industrial health, 2013 - jstage.jst.go.jp"
2,Consensus recommendations on training and competing in the heat,https://onlinelibrary.wiley.com/doi/abs/10.1111/sms.12467,"S Racinais, JM Alonso, AJ Coutts… - … journal of medicine …, 2015 - Wiley Online Library"
3,Mapping heat stress vulnerability and risk assessment at the neighborhood scale to drive Urban adaptation planning,https://www.mdpi.com/2071-1050/12/3/1056,"D Maragno, M Dalla Fontana, F Musco - Sustainability, 2020 - mdpi.com"
4,Heat-waves: risks and responses,https://www.aivc.org/resource/heat-waves-risks-and-responses,"C Koppe, S Kovats, G Jendritzky, B Menne - 2004 - aivc.org"
5,Using green infrastructure for urban climate-proofing: An evaluation of heat mitigation measures at the micro-scale,https://www.sciencedirect.com/science/article/pii/S1618866716301686,"T Zölch, J Maderspacher, C Wamsler… - Urban Forestry & Urban …, 2016 - Elsevier"
6,"Activity modification in heat: critical assessment of guidelines across athletic, occupational, and military settings in the USA",https://link.springer.com/article/10.1007/s00484-019-01673-6,"Y Hosokawa, DJ Casa, JM Trtanj, LN Belval… - International journal of …, 2019 - Springer"
7,Workers' health and productivity under occupational heat strain: a systematic review and meta-analysis,https://www.thelancet.com/journals/lanplh/article/PIIS2542-5196(18)30237-7/fulltext,"AD Flouris, PC Dinas, LG Ioannou, L Nybo… - The Lancet Planetary …, 2018 - thelancet.com"
8,Climatic and psychosocial risks of heat illness incidents on construction site,https://www.sciencedirect.com/science/article/pii/S0003687015300661,"YA Jia, S Rowlinson, M Ciccarelli - Applied ergonomics, 2016 - Elsevier"
9,Livestock production system management responses to thermal challenges,https://link.springer.com/article/10.1007/s00484-007-0103-x,"JA Nienaber, GL Hahn - International Journal of Biometeorology, 2007 - Springer"
0,Heat stroke: role of the systemic inflammatory response,https://journals.physiology.org/doi/abs/10.1152/japplphysiol.00301.2010,"LR Leon, BG Helwig - Journal of applied physiology, 2010 - journals.physiology.org"
1,"Heat illness in athletes: the dangerous combination of heat, humidity and exercise",https://link.springer.com/article/10.2165/00007256-200434010-00002,"EE Coris, AM Ramirez, DJ Van Durme - Sports Medicine, 2004 - Springer"
2,Comprehension of climatic and occupational heat stress amongst agricultural advisers and workers in Slovenia,https://journals.uni-lj.si/aas/article/view/12783,"T Pogačar, Z Črepinšek, LK BOGATAJ… - Acta Agriculturae …, 2017 - journals.uni-lj.si"
3,National Athletic Trainers' Association position statement: exertional heat illnesses,https://meridian.allenpress.com/jat/article-abstract/50/9/986/112280,"DJ Casa, JK DeMartini, MF Bergeron… - Journal of athletic …, 2015 - meridian.allenpress.com"
4,Thermoregulation during exercise in the heat: strategies for maintaining health and performance,https://link.springer.com/article/10.2165/00007256-200737080-00002,"D Wendt, LJC Van Loon, WD Marken Lichtenbelt - Sports medicine, 2007 - Springer"
5,"Heat acclimation, aerobic fitness, and hydration effects on tolerance during uncompensable heat stress",https://journals.physiology.org/doi/abs/10.1152/jappl.1998.84.5.1731,"SS Cheung, TM McLellan - Journal of applied physiology, 1998 - journals.physiology.org"
6,Daily heat stress treatment rescues denervation‐activated mitochondrial clearance and atrophy in skeletal muscle,https://physoc.onlinelibrary.wiley.com/doi/abs/10.1113/JP270093,"Y Tamura, Y Kitaoka, Y Matsunaga… - The Journal of …, 2015 - Wiley Online Library"
7,Cooling methods in heat stroke,https://www.sciencedirect.com/science/article/pii/S0736467915009440,"FG Gaudio, CK Grissom - The Journal of emergency medicine, 2016 - Elsevier"
8,Greenery as a mitigation and adaptation strategy to urban heat,https://www.nature.com/articles/s43017-020-00129-5,"NH Wong, CL Tan, DD Kolokotsa… - Nature Reviews Earth & …, 2021 - nature.com"
9,Targeting heat shock proteins in cancer: a promising therapeutic approach,https://www.mdpi.com/1422-0067/18/9/1978,"S Chatterjee, TF Burns - International journal of molecular sciences, 2017 - mdpi.com"
0,Small heat shock proteins and α-crystallins: dynamic proteins with flexible functions,https://www.cell.com/trends/biochemical-sciences/abstract/S0968-0004(11)00190-3,"E Basha, H O'Neill, E Vierling - Trends in biochemical sciences, 2012 - cell.com"
1,Heat-related illness in athletes,https://journals.sagepub.com/doi/abs/10.1177/0363546507305013,"AS Howe, BP Boden - The American journal of sports …, 2007 - journals.sagepub.com"
2,"European Resuscitation Council Guidelines for Resuscitation 2010 Section 8. Cardiac arrest in special circumstances: electrolyte abnormalities, poisoning, drowning …",https://www.resuscitationjournal.com/article/S0300-9572(10)00441-7/abstract,"J Soar, GD Perkins, G Abbas, A Alfonzo… - …, 2010 - resuscitationjournal.com"
3,Planning for cooler cities: A framework to prioritise green infrastructure to mitigate high temperatures in urban landscapes,https://www.sciencedirect.com/science/article/pii/S0169204614002503,"BA Norton, AM Coutts, SJ Livesley, RJ Harris… - Landscape and urban …, 2015 - Elsevier"
4,Climate change and mental health: a scoping review,https://www.mdpi.com/1660-4601/18/9/4486,"F Charlson, S Ali, T Benmarhnia, M Pearl… - International journal of …, 2021 - mdpi.com"
5,Prognostic factors in heat wave–related deaths: a meta-analysis,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/413470,"A Bouchama, M Dehbi, G Mohamed… - Archives of internal …, 2007 - jamanetwork.com"
